Jahr;Monat;Temperatur Mittelwert;Niederschlagmenge in Summe Liter pro qm;Sonnenscheindauer in Summe in Stunden
2016;1;2,7;92,5;65
2016;2;4,9;75,3;60,4
2016;3;4,9;43,2;120,9
2016;4;9,6;62,2;156,9
2016;5;13,5;119,4;187,8
2016;6;17,5;104;173
2016;7;20,2;116,4;225,7
2016;8;19,1;105,4;246,6
2016;9;17,1;117,2;220,5
2016;10;9,1;45,2;95
2016;11;4,8;69,4;69,9
2016;12;1,5;4,7;95,3
2017;1;-3,6;44,6;89,3
2017;2;3,9;35,6;86,7
2017;3;8,6;38,5;163,7
2017;4;8,4;104,1;128,5
2017;5;15,1;98,2;252,3
2017;6;20,3;76,8;257,8
2017;7;20;137,9;208,6
2017;8;20,2;139,3;231,8
2017;9;13,2;55,3;112,3
2017;10;11,6;58,8;157,2
2017;11;5,2;71,7;46,6
2017;12;2,1;59,9;60,7
2018;1;4,8;104,9;73,3
2018;2;-1,8;52,6;69,2
2018;3;4;38,8;110,5
2018;4;14,7;9,7;269,5
2018;5;16,8;141,2;256
2018;6;18,5;132,6;252,2
2018;7;20,7;91,8;314,1
2018;8;21,5;101,1;286,8
2018;9;16,2;118;234,1
2018;10;11,5;45,6;173,7
2018;11;5,2;25,1;86,2
2018;12;3,6;83,7;42,5
2019;1;0;88;38,9
2019;2;4;51,5;162,7
2019;3;7,5;44;170
2019;4;10,9;21;198,4
2019;5;11,5;191,5;170,5
2019;6;20,9;68,7;318,5
2019;7;20,6;124,1;253,3
2019;8;19,9;150,9;228,6
2019;9;15;66,2;196,8
2019;10;11,8;86;136,2
2019;11;5,5;26;42,8
2019;12;4;47,1;100,1
2020;1;3,2;23,1;122,9
2020;2;6,2;121,5;107
2020;3;6,1;61;185,1
2020;4;12,6;32,3;318,4
2020;5;12,9;65,3;213
2020;6;16,8;207,2;203,1
2020;7;20;95,3;291,2
2020;8;20,2;151,4;236,2
2020;9;15,8;62,5;212,4
2020;10;10;93,3;92,1
2020;11;5,9;17,4;115,5
2020;12;2,2;32,6;61,1
2021;1;-0,3;47,3;37,8
2021;2;2,4;45,5;137,5
2021;3;4;25,4;161
2021;4;6;13,7;193,2
2021;5;10,3;140,2;162,4
2021;6;18,4;172,2;285,2
2021;7;17,6;141,3;204,4
2021;8;16,4;0;154,3
2021;9;14,6;31,5;224,6
2021;10;8,3;20,2;124,5
2021;11;2,8;32,5;38,6
2021;12;2,3;79,6;37,8
